"customer_id";"first_name";"middle_name";"last_name";"address_line_1";"addess_line_2";"city";"state_province_code";"country_region_code";"state_name";"territory_name";"territory_group";"start_date";"end_date";"is_active"
"28531";"Jared";"M";"Reed";"Marketplatz 4664";"";"Saarlouis";"SL ";"DE";"Saarland";"Germany";"Europe";"2025-08-10";"";"1"
"28524";"Paula";"W";"Gill";"1277 Juniper Drive";"";"London";"ENG";"GB";"England";"United Kingdom";"Europe";"2025-05-29";"";"1"
"28506";"Ruth";"L";"Schmidt";"14, allée des Princes";"";"Les Ulis";"91 ";"FR";"Essonne";"France";"Europe";"2023-12-19";"";"1"
"28504";"Reginald";"L";"Gomez";"41, rue Henri Gagnon";"";"Paris";"75 ";"FR";"Seine (Paris)";"France";"Europe";"2023-11-24";"";"1"
"28498";"Tabitha";"M";"Ruiz";"802, rue Henri Gagnon";"";"Verrieres Le Buisson";"91 ";"FR";"Essonne";"France";"Europe";"2025-01-25";"";"1"
"28482";"Jaime";"D";"She";"71 Flora Ave";"";"Brisbane";"QLD";"AU";"Queensland";"Australia";"Pacific";"2025-04-19";"";"1"
"28481";"Kristine";"K";"Moreno";"3451 Meier Road";"";"Springwood";"NSW";"AU";"New South Wales";"Australia";"Pacific";"2025-04-27";"";"1"
"28473";"Bruce";"";"Rodriguez";"4712 Brook Way";"";"Newcastle upon Tyne";"ENG";"GB";"England";"United Kingdom";"Europe";"2025-08-25";"";"1"
"28465";"Wendy";"D";"Serrano";"Herzogstr 32098";"";"Bonn";"HH ";"DE";"Hamburg";"Germany";"Europe";"2025-02-15";"";"1"
"28454";"Shawna";"";"Simpson";"Erlenweg 9194";"";"Erlangen";"BY ";"DE";"Bayern";"Germany";"Europe";"2025-06-05";"";"1"
"28431";"Tyrone";"";"Sanz";"7, rue de la Centenaire";"";"Lille";"59 ";"FR";"Nord";"France";"Europe";"2025-07-29";"";"1"
"28422";"Joy";"";"Moyer";"244, rue de Bas Marin";"";"Pantin";"93 ";"FR";"Seine Saint Denis";"France";"Europe";"2025-11-24";"";"1"
"28420";"Tracy";"C";"Chapman";"470, rue de Linois";"";"Saint-Denis";"93 ";"FR";"Seine Saint Denis";"France";"Europe";"2023-06-29";"";"1"
"28415";"Melissa";"J";"Rogers";"7706 Red Maple Ct";"";"Bury";"ENG";"GB";"England";"United Kingdom";"Europe";"2025-04-24";"";"1"
"28407";"Emma";"R";"Miller";"2626, avenue de l´Europe";"";"Villeneuve-d'Ascq";"59 ";"FR";"Nord";"France";"Europe";"2023-04-21";"";"1"
"28405";"Erick";"A";"Malhotra";"Königstr 282";"";"Grevenbroich";"BY ";"DE";"Bayern";"Germany";"Europe";"2025-07-15";"";"1"
"28387";"Roberto";"";"Alvarez";"1739 Breaker Dr.";"";"Stoke-on-Trent";"ENG";"GB";"England";"United Kingdom";"Europe";"2025-10-26";"";"1"
